,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
69,44,1621,452.0,1354,491,2.619,0,134700
70,45,2115,533.0,1530,474,2.4167,0,139400
71,45,2021,528.0,1410,480,2.7788,0,115400
72,46,2239,508.0,1390,569,2.7352,0,137300
73,44,2968,710.0,2269,610,2.3906,0,111700
74,43,1702,460.0,1227,407,1.7188,0,126800
75,50,1776,473.0,1807,440,1.7276,0,102300
76,44,1678,514.0,1700,495,2.0801,0,131900
77,51,1637,463.0,1543,393,2.489,0,119100
78,49,2272,498.0,1621,483,2.4338,0,102400
79,46,1234,375.0,1183,354,2.3309,0,98700
80,39,2689,597.0,1888,537,2.2562,0,94800
81,41,1547,415.0,1024,341,2.0562,0,102000
82,39,1752,399.0,1071,376,3.1167,0,121600
83,50,1867,403.0,1128,378,2.5401,0,129100
84,43,2430,502.0,1537,484,2.898,0,121400
85,44,1729,414.0,1240,393,2.3125,0,102800
86,46,2109,387.0,922,329,3.9712,0,208100
87,23,2317,336.0,955,328,6.7527,0,285800
88,24,2459,317.0,916,324,7.0712,0,293000
89,30,3326,746.0,1704,703,2.875,0,135300
90,43,1985,440.0,1085,407,3.4205,0,136700
91,45,2324,397.0,968,384,3.5739,0,176000
92,39,1612,342.0,912,322,3.3958,0,141900
93,31,2424,533.0,1360,452,1.871,0,90700
94,41,1594,367.0,1074,355,1.9356,0,90600
95,47,2118,413.0,965,382,2.1842,0,107900
96,37,1575,358.0,933,320,2.2917,0,107000
97,38,1764,397.0,987,354,2.4333,0,98200
98,49,2308,452.0,1299,451,1.8407,0,96700
99,43,2018,408.0,1111,367,1.8913,0,91200
100,51,2107,471.0,1173,438,3.2552,0,120100
101,41,2036,510.0,1412,454,2.0469,0,89300
102,45,1852,393.0,1132,349,2.7159,0,101400
103,41,1613,445.0,1481,414,2.4028,0,97700
104,43,1473,371.0,1231,341,2.1587,0,86500
105,46,2103,391.0,1339,354,2.2467,0,88900
106,43,1587,320.0,907,306,1.9821,0,98300
107,48,1751,390.0,935,349,1.4375,0,90000
108,45,2299,514.0,1437,484,2.5122,0,95500
109,38,2457,624.0,1516,482,1.5625,0,91700
110,40,1685,343.0,949,342,1.8426,0,94800
111,46,1827,307.0,881,302,4.6696,0,164300
112,36,2781,574.0,1438,519,2.4598,0,155500
113,27,2229,365.0,1297,355,4.8304,0,279100
114,26,3266,491.0,1222,533,5.37,0,275400
115,41,4400,666.0,1476,648,5.0,0,248900
116,44,1938,399.0,946,331,3.225,0,135800
117,24,1790,454.0,1137,386,2.537,0,107900
118,38,2263,522.0,1027,509,3.5125,0,224200
119,15,5083,1212.0,2420,1146,4.5824,0,256100
120,37,3061,930.0,2556,924,1.7375,0,350000
121,37,2220,335.0,903,362,7.8336,0,371300
122,37,3000,457.0,987,450,7.5385,0,350000
123,42,2863,460.0,1031,448,6.7138,0,368600
124,44,2252,592.0,989,550,3.0132,0,272900
125,48,2365,490.0,1034,475,3.1065,0,229200
126,46,1895,442.0,920,425,2.9926,0,192100
127,49,2026,548.0,963,521,1.9805,0,173700
128,50,1829,536.0,1129,516,2.6684,0,185600
129,46,3022,696.0,1293,675,2.543,0,220700
130,37,2619,682.0,1152,616,2.52,0,277800
131,42,1756,465.0,2184,422,2.5562,0,371400
132,35,3218,1108.0,1675,1000,1.7464,0,216700
133,44,2539,755.0,1382,713,2.537,0,175000
134,50,2485,607.0,1354,563,1.9483,0,150500
135,49,2932,668.0,1361,608,1.9798,0,147400
136,49,2052,435.0,924,414,2.5417,0,182700
137,41,2214,550.0,1213,568,2.2845,0,153100
138,48,2153,517.0,1656,459,3.0417,0,489600
139,48,2063,484.0,1054,466,2.2625,0,132900
140,35,1872,419.0,1017,414,2.2106,0,132500
141,13,2020,535.0,959,486,5.2601,0,292700
142,30,4145,869.0,3668,855,2.5444,0,275000
143,42,2038,368.0,2037,355,2.6447,0,200000
144,29,5154,537.8705525375618,3741,1273,2.5762,0,173400
145,27,3997,1073.0,1901,966,3.75,0,242800
146,18,2873,763.0,1243,663,5.1702,0,265400
147,43,4329,1110.0,2086,1053,2.975,0,243400
148,27,4051,753.0,1499,797,4.8711,0,286600
149,49,2428,525.0,1110,492,3.6719,0,229800
150,21,7031,1249.0,2930,1235,4.5213,0,228400
151,25,1914,365.0,897,390,4.4562,0,206200
152,31,5785,1379.0,2973,1312,3.2689,0,231000
153,23,5679,1270.0,2690,1151,4.7695,0,291700
154,36,3541,570.0,1478,529,4.635,0,248600
155,36,2879,480.0,1235,455,4.9801,0,241500
156,26,3204,477.0,1411,484,5.4834,0,295200
157,31,3866,531.0,1368,521,6.187,0,340400
158,32,2476,368.0,1048,367,5.6194,0,274700
159,35,2211,350.0,1004,365,5.4639,0,238600
160,35,2663,387.0,1086,367,5.1498,0,266400
161,30,2599,366.0,922,350,5.8382,0,330200
162,36,4569,824.0,1950,819,4.65,0,206800
163,25,2973,622.0,1413,595,4.3819,0,209200
164,30,3115,625.0,1444,568,3.7222,0,195800
165,27,6740,1073.0,2723,1035,5.2131,0,252500
166,38,3716,657.0,1784,652,4.8237,0,220900
167,32,2718,447.0,1156,410,5.2497,0,259300
168,33,3906,790.0,1912,770,3.5187,0,209400
169,32,3400,736.0,1487,694,3.0,0,223200
170,25,3402,758.0,1645,710,3.4934,0,209900
171,33,4413,1107.0,2239,1051,2.9861,0,208200
172,29,2304,618.0,1021,552,2.5362,0,203800
173,36,2350,499.0,1105,467,3.3021,0,195700
174,31,5914,1309.0,2999,1295,3.0964,0,190500
175,15,3051,685.0,1479,668,3.5295,0,242200
176,20,4296,817.0,1732,800,4.8036,0,188300
177,51,2619,403.0,922,393,4.6042,0,251900
178,45,3758,819.0,1573,736,2.8355,0,245400
179,46,2163,470.0,925,435,3.25,0,177500
180,45,1498,313.0,1003,305,3.8047,0,156700
181,36,2639,533.0,1209,519,4.0268,0,205500
182,35,2562,554.0,1398,525,3.3906,0,178900
183,42,3008,659.0,1817,664,3.371,0,165000
184,43,3783,814.0,2139,789,4.0202,0,166300
185,29,4169,1047.0,2024,962,2.8125,0,157400
186,43,2264,390.0,931,368,3.8125,0,235100
187,26,2862,394.0,1030,397,7.912,0,367300
188,35,2183,383.0,976,392,3.8393,0,243500
189,45,2315,451.0,1006,444,3.524,0,186200
190,18,5778,1526.0,2441,1352,3.1682,0,202700
191,27,3094,866.0,1364,789,2.6101,0,181700
192,18,3905,1007.0,2197,1044,3.6932,0,166800
193,43,3046,557.0,1333,544,3.4583,0,183700
194,19,3516,710.0,1810,703,3.9032,0,218000
195,21,4124,1054.0,2162,998,2.6321,0,223100
196,17,2380,769.0,1216,643,3.395,0,271300
197,36,2239,391.0,1203,379,5.0043,0,190400
198,38,1571,317.0,874,301,4.4659,0,189100
199,24,1755,365.0,952,362,4.0,0,202600
200,24,2262,391.0,1125,366,4.7609,0,212600
201,35,2632,447.0,1349,486,4.3864,0,205200
202,30,2261,443.0,929,383,4.2841,0,213400
203,39,1670,308.0,957,335,5.1312,0,183600
204,37,2141,535.0,1093,555,2.9958,0,178400
205,27,3337,613.0,1489,607,3.6364,0,219200
206,31,3184,716.0,1561,628,2.7955,0,183100
207,44,2341,500.0,1256,485,2.9507,0,157100
208,41,3495,787.0,1849,750,2.679,0,144900
209,17,2488,617.0,1287,538,2.9922,0,179900
210,35,2681,508.0,1580,536,4.1042,0,179100
211,19,2495,635.0,1571,579,2.5833,0,159900
212,19,2693,789.0,1765,724,2.4206,0,137500
213,37,2444,651.0,1562,618,2.6464,0,155200
214,23,7518,1279.0,3827,1294,5.1701,0,216800
215,36,1815,426.0,1280,431,3.25,0,218100
216,30,5367,1207.0,2667,1047,3.1796,0,170300
217,26,2607,682.0,1401,607,2.6563,0,184100
218,29,2333,538.0,1120,540,2.4042,0,205600
219,41,1834,463.0,1105,467,2.8322,0,170300
220,37,2116,503.0,1109,448,2.535,0,174000
221,37,1976,481.0,1197,465,2.5772,0,170200
222,38,1779,413.0,1061,400,3.0962,0,180900
223,34,3659,897.0,2479,903,2.9564,0,150500
224,31,1892,428.0,1162,389,3.125,0,167100
225,35,1958,484.0,1146,448,2.95,0,148900
226,37,2412,394.0,975,375,4.0417,0,191100
227,36,2110,389.0,952,370,3.8,0,187500
228,45,2179,401.0,1159,399,3.4839,0,180600
229,45,2457,445.0,1129,422,4.0588,0,182800
230,44,2147,399.0,1175,401,4.1974,0,179300
231,43,1676,340.0,924,328,3.6,0,179400
232,35,2976,518.0,1424,538,4.267,0,210300
233,34,3036,533.0,1366,500,4.2386,0,192300
234,35,2472,398.0,1171,390,5.5797,0,198100
235,38,2012,347.0,880,332,3.1734,0,181600
236,37,3342,537.8705525375618,1635,557,4.7933,0,186900
237,37,3156,534.0,1495,543,4.8125,0,188300
238,40,1748,318.0,914,317,3.8676,0,184000
239,33,3429,681.0,1798,694,3.9395,0,184700
240,42,3592,703.0,1625,665,3.2434,0,179900
241,32,3028,811.0,2037,703,3.0645,0,165400
242,33,2431,655.0,1854,603,2.7019,0,154000
243,39,2069,500.0,1408,478,3.1115,0,153500
244,32,2015,318.0,1019,340,6.1104,0,240700
245,22,3882,816.0,1830,743,4.2733,0,180700
246,27,3239,671.0,1469,616,3.2465,0,230600
247,28,2932,739.0,1198,624,3.2417,0,210800
248,38,2104,409.0,1039,394,3.875,0,165300
249,18,3000,419.0,1155,415,6.8233,0,332600
250,23,2419,348.0,1066,384,6.3501,0,350000
251,28,2280,610.0,1255,587,2.6719,0,161200
252,21,5031,1168.0,2461,1042,3.875,0,179300
253,33,1547,372.0,1063,356,2.5625,0,154300
254,31,3300,790.0,2181,740,3.016,0,161800
255,17,5018,1439.0,3069,1299,2.7694,0,161900
256,35,1813,393.0,1093,374,3.6818,0,165400
257,37,1997,436.0,1349,437,2.1382,0,166600
258,33,1954,464.0,1293,448,3.0489,0,152600
259,27,2630,722.0,1414,634,2.8203,0,195200
260,29,2544,643.0,2332,603,3.2091,0,150000
261,36,1755,316.0,913,299,4.1302,0,172700
262,35,2843,652.0,1726,643,3.09,0,174100
263,25,2538,494.0,1185,501,4.5417,0,194400
264,35,2361,458.0,1727,467,4.5281,0,173600
265,18,4335,808.0,2041,734,3.4861,0,331600
266,29,2172,435.0,1377,408,3.7895,0,180900
267,23,1897,440.0,1109,418,3.142,0,179500
268,27,2784,723.0,2028,693,2.4808,0,157600
269,25,4524,860.0,2426,862,4.7083,0,190900
270,35,2072,352.0,1001,350,4.7109,0,198700
271,32,2964,547.0,1472,527,4.2468,0,221200
272,37,1793,364.0,1534,346,3.6458,0,156600
273,17,2485,518.0,1139,550,2.6875,0,157300
274,35,1931,376.0,1175,337,3.7292,0,168100
275,24,2329,465.0,1401,453,4.5913,0,177600
276,34,1619,293.0,1148,310,4.0326,0,164700
277,27,1826,309.0,1016,313,5.64,0,206500
278,26,2261,443.0,1039,395,3.7931,0,203900
279,36,1633,345.0,1382,338,3.694,0,159600
280,31,2155,522.0,1858,437,2.652,0,159800
281,32,1295,280.0,1156,300,3.5,0,154300
282,32,1295,295.0,1097,328,3.2386,0,149600
283,17,3314,638.0,1873,602,4.3875,0,238500
284,22,3009,497.0,1640,514,4.625,0,235300
285,17,5159,832.0,3174,817,5.8704,0,234400
286,18,1726,276.0,1186,310,5.3226,0,231700
287,16,1816,365.0,1367,355,4.235,0,156300
288,13,2578,551.0,1680,528,4.825,0,222000
289,15,2576,418.0,1657,410,5.5218,0,254400
290,16,3349,544.0,2003,488,6.0074,0,236500
291,15,3475,686.0,2568,653,4.6211,0,151400
292,16,1893,338.0,1461,344,5.225,0,213700
293,15,6243,1273.0,3163,1274,3.7462,0,212500
294,24,2077,383.0,1488,389,4.5721,0,214700
295,16,4371,889.0,2530,817,4.6786,0,256000
296,15,3052,760.0,2097,728,3.3617,0,178100
297,17,4313,717.0,2629,721,5.7579,0,231800
298,21,4342,783.0,2172,789,4.6146,1,247600
299,15,3575,597.0,1777,559,5.7192,1,283500
300,20,4126,1031.0,2079,975,3.6832,1,216900
301,31,2878,478.0,1276,485,6.2073,1,282500
302,23,4332,857.0,2461,829,4.3594,0,223400
303,35,1716,312.0,914,316,5.5737,0,214500
304,31,4981,964.0,2841,924,4.8962,0,220200
305,26,2068,532.0,1434,495,3.3008,0,224200
306,24,2563,485.0,1174,501,3.8179,0,216100
307,18,5505,1005.0,2641,971,5.0,1,269700
308,20,6462,1294.0,3288,1235,4.3393,1,231200
309,31,1949,344.0,986,322,4.6349,1,196200
310,17,4924,1247.0,3080,1182,3.168,1,189400
311,17,5133,1375.0,3386,1339,3.1326,1,220800
312,15,5674,748.0,2412,714,8.3996,1,442900
313,27,3715,526.0,1631,538,6.2179,1,305300
314,33,2095,342.0,941,304,5.761,1,259600
315,29,3517,645.0,1724,585,4.6641,1,248900
316,31,2537,382.0,1067,410,6.7599,1,356000
317,14,5106,1207.0,2738,1108,3.9909,1,236000
318,23,2215,475.0,1278,492,4.2955,1,218800
319,28,2949,529.0,1538,545,4.9615,1,228000
320,18,2375,652.0,1252,586,2.6198,1,235900
321,28,2312,496.0,1344,467,4.7135,1,203200
322,35,2277,420.0,1353,413,4.75,1,197000
323,26,2506,387.0,1273,406,5.4299,1,236400
324,28,2829,566.0,1610,540,4.6,1,223200
325,26,3179,703.0,2142,639,4.1947,1,222700
326,26,2332,371.0,1285,404,5.388,1,225000
327,18,3584,715.0,1673,661,3.9444,1,240100
328,28,3046,507.0,1772,516,5.3283,1,227900
329,28,2414,415.0,1106,453,4.8403,1,268600
330,29,4133,744.0,2023,749,5.1616,1,275100
331,34,2791,495.0,1276,468,4.9167,0,256300
332,27,6103,1249.0,3026,1134,4.1591,1,332400
333,32,2572,406.0,1128,395,5.0,0,287600
334,27,1890,303.0,889,314,5.7057,0,287600
335,25,5405,939.0,2831,923,5.0423,1,222200
336,26,3761,623.0,1776,613,4.5317,1,232600
337,25,3333,511.0,1671,504,5.4359,1,258300
338,23,4925,948.0,2530,894,5.0824,1,230900
339,33,3994,764.0,2721,763,5.2308,1,196900
340,22,5811,1125.0,3215,1086,4.4107,1,223500
341,26,4211,741.0,2352,734,5.2396,1,223900
342,27,5532,973.0,2855,960,4.7478,1,243500
343,23,4314,676.0,1972,623,5.3813,1,264400
344,26,2016,322.0,1105,357,6.0878,1,246900
345,13,5377,744.0,2759,760,6.868,1,337300
346,26,3087,532.0,1597,483,4.9118,0,217300
347,23,3170,532.0,1446,515,4.4357,0,291700
348,26,2145,369.0,1285,377,4.9464,0,223800
349,25,4209,731.0,2568,703,5.2882,0,223100
350,23,4247,835.0,2357,823,5.1321,0,211300
351,25,4458,922.0,2998,890,3.9667,0,218500
352,20,6483,1068.0,3526,1060,5.0838,0,248200
353,35,1867,343.0,1213,338,4.8214,0,186000
354,34,2316,478.0,1524,467,3.7364,0,190400
355,16,4458,856.0,3038,870,5.0739,0,208000
356,18,1746,437.0,1268,404,3.256,0,183300
357,19,4572,712.0,2346,709,6.0667,0,245700
358,21,4280,673.0,2216,681,5.7072,0,242200
359,22,4638,716.0,2302,687,5.347,1,219500
360,25,4377,668.0,2038,671,5.7233,1,231800
361,26,3816,637.0,1935,642,4.4697,1,221300
362,26,2806,459.0,1453,444,4.9107,1,213800
363,26,4822,845.0,2288,805,4.2281,1,206000
364,15,6473,1027.0,2484,970,5.0143,1,271100
365,13,3742,555.0,1590,559,7.316,1,285400
366,18,7397,1137.0,3126,1115,6.4994,2,323000
367,23,2179,308.0,926,299,5.9345,1,259600
368,18,3631,547.0,1700,520,5.817,1,257300
369,18,2876,423.0,1395,427,6.3132,1,259200
370,16,4070,624.0,1543,577,6.5214,2,311500
371,25,2244,301.0,937,324,6.4524,2,296900
372,20,2948,471.0,1181,474,6.0604,2,247900
373,29,2702,680.0,1360,642,3.1127,2,233000
374,13,5519,833.0,2444,825,7.0691,1,393200
375,14,4236,701.0,1833,663,5.6399,2,300600
376,22,3634,664.0,1699,640,4.1597,2,293200
377,16,4290,554.0,1952,576,7.3588,2,327500
378,22,5533,943.0,2474,910,4.7361,2,216800
379,17,3956,639.0,2222,662,5.4324,2,215500
380,29,3433,711.0,1919,709,3.3841,2,184400
381,36,1687,372.0,950,372,3.5532,2,158400
382,34,2358,498.0,1157,461,3.3618,2,174600
383,35,2853,588.0,1761,572,4.3533,2,168400
384,25,6296,1082.0,3200,1047,4.5357,2,188400
385,26,2647,536.0,1422,522,3.7212,2,183800
386,35,1864,357.0,1189,349,4.2361,2,177500
387,17,3112,872.0,1392,680,3.0222,2,172500
388,20,8068,1217.0,3489,1259,5.7907,2,264200
389,26,2211,344.0,1024,321,5.2649,2,199800
390,26,2163,339.0,947,346,6.0797,2,211000
391,25,1947,418.0,900,354,3.8523,2,193000
392,14,3545,702.0,946,411,3.4609,2,120900
393,13,2944,558.0,1091,466,3.0,2,119000
394,15,4403,891.0,1103,433,3.0125,2,111700
395,28,3998,765.0,1614,698,2.8125,2,113400
396,27,3471,653.0,1793,600,3.5508,2,99100
397,18,2791,492.0,1187,438,3.2589,2,103000
398,17,5654,1085.0,2237,953,3.0465,2,144100
399,15,4221,816.0,1737,743,2.3125,2,128600
400,18,2144,420.0,985,381,3.175,2,118500
401,15,3750,691.0,1444,603,2.7399,2,134800
402,19,3267,614.0,1252,566,2.7236,2,109900
403,23,6010,1116.0,2710,1149,3.0068,2,107300
404,17,5273,1177.0,2446,1199,1.9362,2,89900
405,14,2351,620.0,1215,548,2.3155,2,102300
406,17,3425,827.0,2469,758,0.9393,2,88900
407,13,3494,843.0,1571,784,1.1019,2,120200
408,34,3263,604.0,1290,594,2.575,2,130300
409,28,2551,378.0,1011,374,4.3309,2,125200
410,29,7744,1375.0,3316,1365,3.0253,2,111400
411,37,2236,372.0,974,379,3.2016,2,97000
412,26,2741,451.0,1217,437,3.7007,2,139200
413,25,2202,422.0,1109,403,2.8306,2,87500
414,20,3759,537.8705525375618,1705,600,4.712,2,158600
415,16,2867,559.0,1203,449,2.7143,2,95300
416,15,3996,748.0,1786,728,3.5189,2,141300
417,16,4591,904.0,1904,812,2.2419,2,93200
418,18,2672,533.0,1151,532,2.567,2,102900
419,16,2754,570.0,1063,543,1.4048,2,86500
420,18,2221,459.0,952,440,2.0458,2,105700
421,19,2636,523.0,1184,465,2.7863,2,108600
422,19,2487,485.0,1110,453,3.1061,2,110200
423,23,2263,497.0,1138,455,2.3403,2,87300
424,22,2598,482.0,1151,490,2.8182,2,109700
425,17,2748,556.0,1174,514,3.066,2,102600
426,17,3502,655.0,1763,613,2.9625,2,101200
427,19,2888,591.0,984,499,1.9766,2,92600
428,15,1896,408.0,893,334,1.6948,2,87500
429,22,2828,610.0,986,391,2.8871,2,94700
430,14,5549,1000.0,1822,919,2.9562,2,142300
431,19,3720,636.0,1304,607,2.6921,2,97500
432,20,2505,468.0,1174,429,2.9965,2,88900
433,17,3659,735.0,1970,667,2.425,2,96200
434,27,2599,502.0,1241,502,1.9943,2,86300
435,16,4221,781.0,1516,697,2.3816,2,116000
436,34,2745,559.0,1150,491,2.3654,2,94900
437,16,3758,715.0,1777,615,3.0,2,122600
438,16,3120,641.0,1319,526,2.0472,2,93200
439,21,3095,681.0,1341,546,2.1382,2,104000
440,32,2685,543.0,1061,492,2.5473,2,101600
441,17,2967,611.0,1387,564,2.0417,2,92600
442,13,4110,847.0,1796,706,2.6417,2,122300
443,18,2912,663.0,999,411,2.7344,2,91900
444,17,5497,1056.0,997,408,2.9821,2,111500
445,13,4401,829.0,924,383,2.6942,2,123500
446,13,4495,856.0,1149,459,2.5352,2,113700
447,28,3144,694.0,1095,482,3.4402,2,192400
448,17,2549,596.0,1169,500,3.6694,2,209400
449,25,2019,411.0,888,326,3.2619,2,183800
450,19,3388,599.0,1707,575,3.6411,2,162800
451,27,3861,718.0,2085,707,3.3558,2,129700
452,15,1850,441.0,1348,403,3.8125,2,125400
453,33,2396,452.0,1391,465,3.2813,2,151400
454,19,2055,358.0,1064,350,4.7426,2,263100
455,19,2005,405.0,972,403,2.2216,2,156700
456,13,2479,394.0,1075,350,5.1017,2,241400
457,22,1999,415.0,967,320,4.4583,2,253900
458,46,2273,495.0,1088,447,2.2532,2,109400
459,47,1942,430.0,1074,393,2.2361,2,105100
460,25,3018,606.0,1614,568,3.4722,2,127000
461,19,2688,469.0,1216,422,4.4491,2,133900
462,17,4032,814.0,1749,618,3.1728,2,146800
463,34,3090,593.0,1588,566,3.6118,2,124700
464,44,3184,581.0,1399,548,2.7234,2,110200
465,37,3058,567.0,1351,523,3.5179,2,130800
466,13,2983,534.0,1417,510,3.9861,2,168100
467,18,2807,445.0,1315,437,4.8194,2,170400
468,22,2331,359.0,1086,340,5.1435,2,150800
469,13,3995,605.0,1969,607,5.0164,2,165200
470,29,2070,452.0,985,420,2.8466,2,113400
471,37,2724,579.0,1400,540,2.905,2,97300
472,30,3268,567.0,1714,565,4.4583,2,131000
473,26,3364,570.0,1806,566,4.2647,2,133400
474,24,2269,584.0,1239,542,2.0411,2,100000
475,15,6365,1646.0,3838,1458,2.5495,2,103600
476,18,2741,449.0,1507,460,4.7566,2,142500
477,13,4545,952.0,2188,901,3.3625,2,126100
478,15,2380,385.0,1292,388,4.6029,2,142600
479,16,2919,462.0,1456,453,5.6779,2,164700
480,18,3646,534.0,1651,535,5.7321,2,164700
481,34,2738,475.0,1316,459,3.5368,2,122500
482,16,3077,465.0,1575,446,5.5,2,179500
483,51,2982,689.0,1831,608,2.0034,2,87700
484,46,2112,466.0,1249,382,2.5737,2,87000
485,36,2707,550.0,1827,545,3.3371,2,94600
486,31,3644,746.0,2229,678,3.1389,2,117800
487,16,2605,440.0,1352,408,4.1947,2,140300
488,30,4114,743.0,1994,722,4.2227,2,134400
489,16,3216,464.0,1504,453,5.25,2,161700
490,16,3787,515.0,1606,507,5.5676,2,174200
491,17,2713,442.0,1475,415,4.8542,2,144100
492,15,2203,312.0,1051,311,4.9783,2,163900
493,28,3639,751.0,2362,641,3.0042,2,103900
494,16,2604,454.0,1696,481,4.6628,2,136000
495,34,3779,766.0,2356,722,3.5129,2,110600
496,14,1930,363.0,990,322,4.1094,2,162200
497,14,2677,368.0,1288,375,6.0497,2,177500
498,13,1524,286.0,940,308,5.1337,2,154800
499,27,1654,478.0,1141,420,1.4871,2,87100
500,35,2691,542.0,1409,505,3.016,2,95300
501,29,5765,1170.0,3266,1131,2.7907,2,113900
502,16,2176,464.0,1410,434,3.5436,2,100200
503,16,1840,355.0,1288,338,4.2067,2,125000
504,15,2966,558.0,1687,527,3.4817,2,129800
505,17,3685,685.0,1939,649,3.7043,2,139800
506,31,2810,518.0,1640,503,3.3661,2,98500
507,33,2821,652.0,1206,640,2.5481,0,150800
508,20,6992,1404.0,3221,1334,4.2042,0,166400
509,37,1742,339.0,1128,345,3.8824,0,113700
510,28,4308,824.0,2086,776,3.6523,0,159700
511,19,4657,739.0,1914,732,5.0509,0,199900
512,19,3073,506.0,1773,493,5.4496,0,205400
513,16,3913,710.0,1782,676,5.1297,0,206700
514,14,5381,871.0,2296,872,5.6875,0,211000
515,18,4326,655.0,1753,646,5.6931,0,269600
516,20,3796,650.0,1679,611,4.3571,0,228200
517,28,3310,574.0,1811,597,4.5401,0,166900
518,36,2213,386.0,950,370,4.7386,0,186400
519,39,2199,388.0,1025,385,4.5893,0,190000
520,24,3173,548.0,1351,536,5.0672,0,243000
521,22,4162,1194.0,1804,1185,2.5459,0,179300
522,19,4005,972.0,1896,893,2.5268,0,235700
523,36,2639,488.0,1111,476,3.5057,0,205100
524,35,4043,689.0,1832,662,5.0761,0,233200
525,44,2185,357.0,943,366,4.725,0,232100
526,29,6895,1022.0,2634,1022,6.1922,0,273200
527,16,3077,733.0,1447,709,3.2484,0,91100
528,36,2765,495.0,1478,441,4.125,0,136200
529,36,2476,472.0,1213,393,3.7333,0,136400
530,25,3577,581.0,1753,593,5.7295,0,178300
531,27,3228,562.0,1666,588,4.5707,0,175900
532,38,2675,541.0,1378,480,3.8897,0,139900
533,45,2842,567.0,1261,535,3.6042,0,138200
534,28,2965,533.0,1591,472,4.6375,0,178200
535,35,3103,537.0,1614,566,4.9022,0,169300
